,image,binary_NOK,multi-label_double_winding,multi-label_gap,multi-label_crossing,CoilNumber
960,Spule003_Image0001.jpg,0,0,0,0,3
961,Spule003_Image0002.jpg,0,0,0,0,3
962,Spule003_Image0003.jpg,0,0,0,0,3
963,Spule003_Image0004.jpg,0,0,0,0,3
964,Spule003_Image0005.jpg,0,0,0,0,3
965,Spule003_Image0006.jpg,0,0,0,0,3
966,Spule003_Image0007.jpg,0,0,0,0,3
967,Spule003_Image0008.jpg,0,0,0,0,3
968,Spule003_Image0009.jpg,0,0,0,0,3
969,Spule003_Image0010.jpg,0,0,0,0,3
970,Spule003_Image0011.jpg,0,0,0,0,3
971,Spule003_Image0012.jpg,0,0,0,0,3
972,Spule003_Image0013.jpg,0,0,0,0,3
973,Spule003_Image0014.jpg,0,0,0,0,3
974,Spule003_Image0015.jpg,0,0,0,0,3
975,Spule003_Image0016.jpg,0,0,0,0,3
976,Spule003_Image0017.jpg,0,0,0,0,3
977,Spule003_Image0018.jpg,0,0,0,0,3
978,Spule003_Image0019.jpg,0,0,0,0,3
979,Spule003_Image0020.jpg,0,0,0,0,3
980,Spule003_Image0021.jpg,0,0,0,0,3
981,Spule003_Image0022.jpg,0,0,0,0,3
982,Spule003_Image0023.jpg,0,0,0,0,3
983,Spule003_Image0024.jpg,0,0,0,0,3
984,Spule003_Image0025.jpg,0,0,0,0,3
985,Spule003_Image0026.jpg,0,0,0,0,3
986,Spule003_Image0027.jpg,0,0,0,0,3
987,Spule003_Image0028.jpg,0,0,0,0,3
988,Spule003_Image0029.jpg,0,0,0,0,3
989,Spule003_Image0030.jpg,0,0,0,0,3
990,Spule003_Image0031.jpg,0,0,0,0,3
991,Spule003_Image0032.jpg,0,0,0,0,3
992,Spule003_Image0033.jpg,0,0,0,0,3
993,Spule003_Image0034.jpg,0,0,0,0,3
994,Spule003_Image0035.jpg,0,0,0,0,3
995,Spule003_Image0036.jpg,0,0,0,0,3
996,Spule003_Image0037.jpg,0,0,0,0,3
997,Spule003_Image0038.jpg,0,0,0,0,3
998,Spule003_Image0039.jpg,0,0,0,0,3
999,Spule003_Image0040.jpg,0,0,0,0,3
1000,Spule003_Image0041.jpg,0,0,0,0,3
1001,Spule003_Image0042.jpg,0,0,0,0,3
1002,Spule003_Image0043.jpg,0,0,0,0,3
1003,Spule003_Image0044.jpg,0,0,0,0,3
1004,Spule003_Image0045.jpg,0,0,0,0,3
1005,Spule003_Image0046.jpg,0,0,0,0,3
1006,Spule003_Image0047.jpg,0,0,0,0,3
1007,Spule003_Image0048.jpg,0,0,0,0,3
1008,Spule003_Image0049.jpg,0,0,0,0,3
1009,Spule003_Image0050.jpg,0,0,0,0,3
1010,Spule003_Image0051.jpg,0,0,0,0,3
1011,Spule003_Image0052.jpg,0,0,0,0,3
1012,Spule003_Image0053.jpg,0,0,0,0,3
1013,Spule003_Image0054.jpg,0,0,0,0,3
1014,Spule003_Image0055.jpg,0,0,0,0,3
1015,Spule003_Image0056.jpg,0,0,0,0,3
1016,Spule003_Image0057.jpg,0,0,0,0,3
1017,Spule003_Image0058.jpg,0,0,0,0,3
1018,Spule003_Image0059.jpg,0,0,0,0,3
1019,Spule003_Image0060.jpg,0,0,0,0,3
1020,Spule003_Image0061.jpg,0,0,0,0,3
1021,Spule003_Image0062.jpg,0,0,0,0,3
1022,Spule003_Image0063.jpg,0,0,0,0,3
1023,Spule003_Image0064.jpg,0,0,0,0,3
1024,Spule003_Image0065.jpg,0,0,0,0,3
1025,Spule003_Image0066.jpg,0,0,0,0,3
1026,Spule003_Image0067.jpg,0,0,0,0,3
1027,Spule003_Image0068.jpg,0,0,0,0,3
1028,Spule003_Image0069.jpg,0,0,0,0,3
1029,Spule003_Image0070.jpg,0,0,0,0,3
1030,Spule003_Image0071.jpg,0,0,0,0,3
1031,Spule003_Image0072.jpg,0,0,0,0,3
1032,Spule003_Image0073.jpg,0,0,0,0,3
1033,Spule003_Image0074.jpg,0,0,0,0,3
1034,Spule003_Image0075.jpg,0,0,0,0,3
1035,Spule003_Image0076.jpg,0,0,0,0,3
1036,Spule003_Image0077.jpg,0,0,0,0,3
1037,Spule003_Image0078.jpg,0,0,0,0,3
1038,Spule003_Image0079.jpg,0,0,0,0,3
1039,Spule003_Image0080.jpg,0,0,0,0,3
1040,Spule003_Image0081.jpg,0,0,0,0,3
1041,Spule003_Image0082.jpg,0,0,0,0,3
1042,Spule003_Image0083.jpg,0,0,0,0,3
1043,Spule003_Image0084.jpg,0,0,0,0,3
1044,Spule003_Image0085.jpg,0,0,0,0,3
1045,Spule003_Image0086.jpg,0,0,0,0,3
1046,Spule003_Image0087.jpg,0,0,0,0,3
1047,Spule003_Image0088.jpg,0,0,0,0,3
1048,Spule003_Image0089.jpg,0,0,0,0,3
1049,Spule003_Image0090.jpg,0,0,0,0,3
1050,Spule003_Image0091.jpg,1,0,1,0,3
1051,Spule003_Image0092.jpg,1,0,1,0,3
1052,Spule003_Image0093.jpg,0,0,0,0,3
1053,Spule003_Image0094.jpg,0,0,0,0,3
1054,Spule003_Image0095.jpg,1,0,1,0,3
1055,Spule003_Image0096.jpg,1,0,1,0,3
1056,Spule003_Image0097.jpg,0,0,0,0,3
1057,Spule003_Image0098.jpg,0,0,0,0,3
1058,Spule003_Image0099.jpg,1,0,1,0,3
1059,Spule003_Image0100.jpg,1,0,1,0,3
1060,Spule003_Image0101.jpg,0,0,0,0,3
1061,Spule003_Image0102.jpg,0,0,0,0,3
1062,Spule003_Image0103.jpg,1,0,1,0,3
1063,Spule003_Image0104.jpg,1,0,1,0,3
1064,Spule003_Image0105.jpg,0,0,0,0,3
1065,Spule003_Image0106.jpg,0,0,0,0,3
1066,Spule003_Image0107.jpg,1,0,1,0,3
1067,Spule003_Image0108.jpg,1,0,1,0,3
1068,Spule003_Image0109.jpg,0,0,0,0,3
1069,Spule003_Image0110.jpg,0,0,0,0,3
1070,Spule003_Image0111.jpg,1,0,1,0,3
1071,Spule003_Image0112.jpg,1,0,1,0,3
1072,Spule003_Image0113.jpg,0,0,0,0,3
1073,Spule003_Image0114.jpg,0,0,0,0,3
1074,Spule003_Image0115.jpg,1,0,1,0,3
1075,Spule003_Image0116.jpg,1,0,1,0,3
1076,Spule003_Image0117.jpg,0,0,0,0,3
1077,Spule003_Image0118.jpg,0,0,0,0,3
1078,Spule003_Image0119.jpg,1,0,1,0,3
1079,Spule003_Image0120.jpg,1,0,1,0,3
1080,Spule003_Image0121.jpg,0,0,0,0,3
1081,Spule003_Image0122.jpg,0,0,0,0,3
1082,Spule003_Image0123.jpg,1,0,1,0,3
1083,Spule003_Image0124.jpg,1,0,1,0,3
